path_to_file,file_name,link
1/tarify-dlya-rascheta-razmera-platy-za-kommunalnye-uslugi-dlya-naseleniya-Sankt-Peterburga.csv,"Тарифы для расчета размера платы за коммунальные услуги для населения Санкт-Петербурга",https://classif.gov.spb.ru/irsi/7826692894-tarify-dlya-rascheta-razmera-platy-za-kommunalnye-uslugi-dlya-naseleniya-Sankt-Peterburga/structure_version/627/
2/Perechen-obuektov-nezhilogo-fonda-yavlyayushihsya-obshim-imushestvom-MKD-i-isklyuchennyh-iz-Reestra-sobstvennosti-SPb.csv,"Перечень объектов нежилого фонда, являющихся общим имуществом МКД и исключенных из Реестра собственности СПб",https://classif.gov.spb.ru/irsi/7832000076-Perechen-obuektov-nezhilogo-fonda-yavlyayushihsya-obshim-imushestvom-MKD-i-isklyuchennyh-iz-Reestra-sobstvennosti-SPb/structure_version/526/
3/licenses_medicine.csv,"Реестр лицензий на осуществление медицинской деятельности, предоставленных Комитетом по здравоохранению",https://classif.gov.spb.ru/irsi/7808043833-licenses_medicine/structure_version/563/
4/licenses_pharmaceutics.csv,"Реестр лицензий на осуществление фармацевтической деятельности, предоставленных Комитетом по здравоохранению",https://classif.gov.spb.ru/irsi/7808043833-licenses_pharmaceutics/structure_version/535/
5/Adresnaya-programma-montazha-pavilonov-ozhidaniya-gorodskogo-passazhirskogo-transporta-bez-reklamnyh-konstrukcij.csv,"Адресная программа монтажа павильонов ожидания городского пассажирского транспорта без рекламных конструкций на 2023 год",https://classif.gov.spb.ru/irsi/7840424142-Adresnaya-programma-montazha-pavilonov-ozhidaniya-gorodskogo-passazhirskogo-transporta-bez-reklamnyh-konstrukcij/structure_version/640/
6/OKUD.csv,Общероссийский классификатор управленческой документации,https://classif.gov.spb.ru/irsi/7815000870-OKUD/structure_version/3/
7/OKISZN-2017.csv,Общероссийский классификатор информации по социальной защите населения - 2017,https://classif.gov.spb.ru/irsi/7815000870-OKISZN_NEW/structure_version/2/
8/OKS.csv,Общероссийский классификатор стандартов,https://classif.gov.spb.ru/irsi/7815000870-OKS/structure_version/1/
9/OKEI.csv,Общероссийский классификатор единиц измерения,https://classif.gov.spb.ru/irsi/7815000870-OKEI/structure_version/9/
10/OKOGU.csv,Общероссийский классификатор органов государственной власти и управления,https://classif.gov.spb.ru/irsi/7815000870-OKOGU/structure_version/14/
11/OKOK.csv,Общероссийский классификатор информации об общероссийских классификаторах,https://classif.gov.spb.ru/irsi/7815000870-OKOK/structure_version/13/
12/OKIN-2014.csv,Общероссийский классификатор информации о населении - 2014,https://classif.gov.spb.ru/irsi/7815000870-OKIN_NEW/structure_version/11/
13/OKOF-2014.csv,Общероссийский классификатор основных фондов - 2014,https://classif.gov.spb.ru/irsi/7815000870-OKOF_NEW/structure_version/4/
14/OKV.csv,Общероссийский классификатор валют,https://classif.gov.spb.ru/irsi/7815000870-OKV/structure_version/7/
15/Addresses_camera_installation.csv,Адреса установки видеокамер,https://classif.gov.spb.ru/irsi/7825457753-Addresses_camera_installation/structure_version/331/
16/gov_site.csv,Каталог государственных сайтов Санкт-Петербурга,https://classif.gov.spb.ru/irsi/7825457753-gov_site/structure_version/333/
17/address_radar.csv,"Адреса установки стационарных фоторадарных комплексов, фиксирующих нарушения ПДД на дорогах г.Санкт-Петербурга",https://classif.gov.spb.ru/irsi/7825457753-address_radar/structure_version/568/
18/Reestr-licenzij-na-obrazovatelnuyu-deyatelnost.csv,Реестр лицензий на образовательную деятельность,https://classif.gov.spb.ru/irsi/7830002053-Reestr-licenzij-na-obrazovatelnuyu-deyatelnost/structure_version/646/
19/obuekty-fizicheskoj-kultury-i-sporta-Sankt-Peterburga.csv,Объекты физической культуры и спорта Санкт-Петербурга,https://classif.gov.spb.ru/irsi/7803050795-obuekty-fizicheskoj-kultury-i-sporta-Sankt-Peterburga/structure_version/426/
20/Arhiv-orderov-na-proizvodstvo-rabot.csv,Архив ордеров на производство работ,https://classif.gov.spb.ru/irsi/7803032323-Arhiv-orderov-na-proizvodstvo-rabot/structure_version/170/