Название набора данных,Ссылка на набор данных,Количество записей (строк) в наборе,Количество столбцов в наборе,Общее количество пустых значений,Количество пустых значений в каждом из столбцов в виде строки,Минимальное/Максимальное/Среднее количество пустых значений в каждой строке
Тарифы для расчета размера платы за коммунальные услуги для населения Санкт-Петербурга,https://classif.gov.spb.ru/irsi/7826692894-tarify-dlya-rascheta-razmera-platy-za-kommunalnye-uslugi-dlya-naseleniya-Sankt-Peterburga/structure_version/627/,107,8,105,"0, 0, 0, 0, 0, 0, 0, 105",0 / 1 / 0.9813084112149533
"Перечень объектов нежилого фонда, являющихся общим имуществом МКД и исключенных из Реестра собственности СПб",https://classif.gov.spb.ru/irsi/7832000076-Perechen-obuektov-nezhilogo-fonda-yavlyayushihsya-obshim-imushestvom-MKD-i-isklyuchennyh-iz-Reestra-sobstvennosti-SPb/structure_version/526/,2812,9,62,"0, 0, 0, 0, 57, 0, 0, 5, 0",0 / 1 / 0.022048364153627313
"Реестр лицензий на осуществление медицинской деятельности, предоставленных Комитетом по здравоохранению",https://classif.gov.spb.ru/irsi/7808043833-licenses_medicine/structure_version/563/,9331,12,12,"0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0",0 / 1 / 0.0012860357946629514
"Реестр лицензий на осуществление фармацевтической деятельности, предоставленных Комитетом по здравоохранению",https://classif.gov.spb.ru/irsi/7808043833-licenses_pharmaceutics/structure_version/535/,2725,12,0,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0 / 0 / 0.0
Адресная программа монтажа павильонов ожидания городского пассажирского транспорта без рекламных конструкций на 2023 год,https://classif.gov.spb.ru/irsi/7840424142-Adresnaya-programma-montazha-pavilonov-ozhidaniya-gorodskogo-passazhirskogo-transporta-bez-reklamnyh-konstrukcij/structure_version/640/,806,6,0,"0, 0, 0, 0, 0, 0",0 / 0 / 0.0
Общероссийский классификатор управленческой документации,https://classif.gov.spb.ru/irsi/7815000870-OKUD/structure_version/3/,3906,13,13971,"0, 0, 0, 0, 2242, 1547, 3155, 0, 1924, 0, 1925, 3178, 0",1 / 6 / 3.576804915514593
Общероссийский классификатор информации по социальной защите населения - 2017,https://classif.gov.spb.ru/irsi/7815000870-OKISZN_NEW/structure_version/2/,2083,11,6249,"0, 0, 0, 0, 2083, 0, 0, 2083, 2083, 0, 0",3 / 3 / 3.0
Общероссийский классификатор стандартов,https://classif.gov.spb.ru/irsi/7815000870-OKS/structure_version/1/,1395,10,3623,"0, 0, 0, 849, 0, 1387, 0, 1387, 0, 0",0 / 3 / 2.597132616487455
Общероссийский классификатор единиц измерения,https://classif.gov.spb.ru/irsi/7815000870-OKEI/structure_version/9/,525,16,1819,"0, 0, 0, 0, 0, 22, 367, 22, 367, 0, 0, 520, 520, 0, 0, 1",0 / 6 / 3.4647619047619047
Общероссийский классификатор органов государственной власти и управления,https://classif.gov.spb.ru/irsi/7815000870-OKOGU/structure_version/14/,1124,13,4303,"0, 0, 0, 0, 1122, 552, 1098, 0, 0, 245, 245, 0, 1041",2 / 6 / 3.828291814946619
Общероссийский классификатор информации об общероссийских классификаторах,https://classif.gov.spb.ru/irsi/7815000870-OKOK/structure_version/13/,574,18,3702,"0, 0, 0, 0, 0, 0, 526, 526, 0, 526, 254, 572, 0, 494, 0, 494, 310, 0",2 / 7 / 6.449477351916376
Общероссийский классификатор информации о населении - 2014,https://classif.gov.spb.ru/irsi/7815000870-OKIN_NEW/structure_version/11/,2626,12,7998,"0, 0, 129, 0, 0, 2623, 0, 2623, 0, 2623, 0, 0",1 / 4 / 3.045696877380046
Общероссийский классификатор основных фондов - 2014,https://classif.gov.spb.ru/irsi/7815000870-OKOF_NEW/structure_version/4/,1889,10,5351,"0, 0, 0, 1859, 0, 1763, 0, 1729, 0, 0",0 / 3 / 2.8327157226045525
Общероссийский классификатор валют,https://classif.gov.spb.ru/irsi/7815000870-OKV/structure_version/7/,222,12,743,"0, 0, 0, 0, 0, 219, 0, 0, 0, 161, 161, 202",1 / 4 / 3.3468468468468466
Адреса установки видеокамер,https://classif.gov.spb.ru/irsi/7825457753-Addresses_camera_installation/structure_version/331/,14805,4,0,"0, 0, 0, 0",0 / 0 / 0.0
Каталог государственных сайтов Санкт-Петербурга,https://classif.gov.spb.ru/irsi/7825457753-gov_site/structure_version/333/,2556,4,0,"0, 0, 0, 0",0 / 0 / 0.0
"Адреса установки стационарных фоторадарных комплексов, фиксирующих нарушения ПДД на дорогах г.Санкт-Петербурга",https://classif.gov.spb.ru/irsi/7825457753-address_radar/structure_version/568/,768,3,3,"0, 0, 3",0 / 1 / 0.00390625
Реестр лицензий на образовательную деятельность,https://classif.gov.spb.ru/irsi/7830002053-Reestr-licenzij-na-obrazovatelnuyu-deyatelnost/structure_version/646/,8605,28,73441,"0, 0, 8, 0, 222, 8605, 0, 0, 1062, 1, 0, 0, 0, 1310, 0, 2, 2078, 8531, 8605, 8601, 8601, 8605, 8605, 8605, 0, 0, 0, 0",6 / 12 / 8.534689134224289
Объекты физической культуры и спорта Санкт-Петербурга,https://classif.gov.spb.ru/irsi/7803050795-obuekty-fizicheskoj-kultury-i-sporta-Sankt-Peterburga/structure_version/426/,4549,6,51,"0, 37, 0, 0, 0, 14",0 / 1 / 0.011211255220927677
Архив ордеров на производство работ,https://classif.gov.spb.ru/irsi/7803032323-Arhiv-orderov-na-proizvodstvo-rabot/structure_version/170/,18479,21,5,"0, 0, 0, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0 / 2 / 0.00027057741219762974
